Offset(P)            #Ptr   #Hnd Access Name
------------------ ------ ------ ------ ----
0x00009a077de99570  32753      1 ------ \Device\Afd\Endpoint
0x00009a077de99700  32766      1 ------ \Device\DeviceApi\Dev\Query
0x00009a077e41a4f0     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\beep.sys
0x00009a077e41a940     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\DriverStore\FileRepository\basicrender.inf_amd64_df49c4daa6251397\BasicRender.sys
0x00009a077e41ac20     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\npfs.sys
0x00009a077e41b4c0     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\dxgkrnl.sys
0x00009a077e41b7a0     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\DriverStore\FileRepository\basicdisplay.inf_amd64_65ab9a260dbf7467\BasicDisplay.sys
0x00009a077e41ba80     29      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a077e41bd60     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\watchdog.sys
0x00009a077e424660     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\afd.sys
0x00009a077e4247d0     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\vwififlt.sys
0x00009a077e424c20     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\afunix.sys
0x00009a077e4257a0     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\pacer.sys
0x00009a077e425910     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\ndiscap.sys
0x00009a077e447080     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\winhvr.sys
0x00009a077e447920     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\rdbss.sys
0x00009a077e447ee0     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\nsiproxy.sys
0x00009a077e448610     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\npsvctrig.sys
0x00009a077e448a60     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\mssmbios.sys
0x00009a077e448eb0     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\dfsc.sys
0x00009a077e6c1940      1      0 RW-rwd \Device\HarddiskVolume2\$NonCachedIo
0x00009a077e6c1c20      1      0 RW-rwd \Device\HarddiskVolume2\$NonCachedIo
0x00009a077e6c2070      1      0 RW-rwd \Device\HarddiskVolume2\$NonCachedIo
0x00009a077e6c2d60      1      0 RW-rwd \Device\HarddiskVolume2\$NonCachedIo
0x00009a077e6c3600      1      0 RW-rwd \Device\HarddiskVolume2\$NonCachedIo
0x00009a077e6ef0a0     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\condrv.sys
0x00009a077e7f7210     25      0 RW-rwd \Device\HarddiskVolume2\$Extend\$UsnJrnl:$J:$DATA
0x00009a077e7f74f0  32769      1 RWDrwd \Device\clfs\Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLog
0x00009a077e7f7660     34      0 RW-rwd \Device\HarddiskVolume2\$LogFile
0x00009a077e7f7940      3      0 RW-rwd \Device\HarddiskVolume2\$Extend:$I30:$INDEX_ALLOCATION
0x00009a077e7f7ab0      4      0 RW-rwd \Device\HarddiskVolume2\$MftMirr
0x00009a077e7f7c20     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a077e7f8070     32      0 RW-rwd \Device\HarddiskVolume2\$Secure:$SDS:$DATA
0x00009a077e7f81e0     32      0 RW-rwd \Device\HarddiskVolume2\:$I30:$INDEX_ALLOCATION
0x00009a077e7f8350      3      0 RW-rwd \Device\HarddiskVolume2\$Extend\$RmMetadata\$Repair:$Verify:$DATA
0x00009a077e7f84c0     25      0 RW-rwd \Device\HarddiskVolume2\$Secure:$SII:$INDEX_ALLOCATION
0x00009a077e7f8630     30      0 RW-rwd \Device\HarddiskVolume2\$Mft
0x00009a077e7f87a0     32      0 RW-rwd \Device\HarddiskVolume2\$Mft::$BITMAP
0x00009a077e7f8910      3      0 RW-rwd \Device\HarddiskVolume2\$Extend\$Deleted:$I30:$INDEX_ALLOCATION
0x00009a077e7f8bf0     29      0 RW-rwd \Device\HarddiskVolume2\$BitMap
0x00009a077e7f8d60      3      0 RW-r-- \Device\HarddiskVolume2\$Extend\$RmMetadata\$Repair
0x00009a077e7f8ed0     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a077e865210     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\crashdmp.sys
0x00009a077e865660  32769      1 RW-r-- \Device\clfsTxfLog
